投球数,球種,球速,結果,投手,打者,スコア,投球コース
6,ストレート,148km/h,ボール,津森 宥紀,安達 了一,4-5,top:20px; left:120px;
7,スライダー,133km/h,一直  [野手の正面をつく],津森 宥紀,安達 了一,4-5,top:90px; left:24px;
1,スプリット,129km/h,空振り,阿部 翔太,柳田 悠岐,5-5,top:156px; left:18px;
2,ストレート,144km/h,ボール,阿部 翔太,柳田 悠岐,5-5,top:126px; left:120px;
3,スプリット,129km/h,右中本  [スタンドギリギリ、投手がっくり],阿部 翔太,柳田 悠岐,5-5,top:138px; left:68px;
1,カットボール,140km/h,ファウル,阿部 翔太,デスパイネ,5-5,top:122px; left:18px;
2,カットボール,136km/h,空振り,阿部 翔太,デスパイネ,5-5,top:122px; left:37px;
3,スプリット,133km/h,空三振,阿部 翔太,デスパイネ,5-5,top:164px; left:68px;
1,ストレート,144km/h,三直  [痛烈な当たり],阿部 翔太,今宮 健太,5-5,top:94px; left:89px;
1,スプリット,133km/h,空振り,阿部 翔太,グラシアル,5-5,top:138px; left:104px;
