投球数,球種,球速,結果,投手,打者,スコア,投球コース
2,スライダー,131km/h,右飛,菅野 智之,石川 昂弥,2-1,top:80px; left:64px;
1,カットボール,134km/h,ファウル  [自打球],大野 雄大,ポランコ,2-1,top:56px; left:69px;
2,ストレート,146km/h,ボール  [ハーフスイング],大野 雄大,ポランコ,2-1,top:18px; left:27px;
3,カットボール,139km/h,中安,大野 雄大,ポランコ,2-1,top:105px; left:102px;
1,ツーシーム,140km/h,右邪飛  [ライン際],大野 雄大,岡本 和真,2-1,top:118px; left:52px;
1,ストレート,145km/h,空振り  [フルスイング],大野 雄大,中田 翔,2-1,top:53px; left:54px;
2,ストレート,148km/h,ボール,大野 雄大,中田 翔,2-1,top:10px; left:63px;
3,ツーシーム,137km/h,見逃し,大野 雄大,中田 翔,2-1,top:118px; left:95px;
4,フォーク,141km/h,ボール,大野 雄大,中田 翔,2-1,top:156px; left:124px;
5,ストレート,147km/h,ボール,大野 雄大,中田 翔,2-1,top:24px; left:122px;
6,フォーク,137km/h,四球  [ハーフスイング],大野 雄大,中田 翔,2-1,top:160px; left:97px;
1,ストレート,148km/h,ファウル,大野 雄大,丸 佳浩,2-1,top:56px; left:68px;
2,カットボール,135km/h,ボール,大野 雄大,丸 佳浩,2-1,top:20px; left:85px;
3,カットボール,134km/h,ファウル,大野 雄大,丸 佳浩,2-1,top:104px; left:83px;
4,フォーク,140km/h,ボール,大野 雄大,丸 佳浩,2-1,top:158px; left:82px;
5,ストレート,149km/h,空三振,大野 雄大,丸 佳浩,2-1,top:13px; left:37px;
1,ストレート,146km/h,ボール,大野 雄大,ウィーラー,2-1,top:20px; left:84px;
2,ストレート,146km/h,見逃し,大野 雄大,ウィーラー,2-1,top:35px; left:64px;
3,ストレート,145km/h,ボール,大野 雄大,ウィーラー,2-1,top:17px; left:7px;
4,ツーシーム,139km/h,ボール,大野 雄大,ウィーラー,2-1,top:159px; left:38px;
5,ツーシーム,140km/h,投ゴロ,大野 雄大,ウィーラー,2-1,top:106px; left:39px;
1,カーブ,123km/h,見逃し,菅野 智之,京田 陽太,2-1,top:120px; left:78px;
2,ストレート,147km/h,ボール,菅野 智之,京田 陽太,2-1,top:16px; left:132px;
3,ストレート,145km/h,見逃し,菅野 智之,京田 陽太,2-1,top:109px; left:36px;
4,ストレート,145km/h,ファウル,菅野 智之,京田 陽太,2-1,top:38px; left:119px;
5,ストレート,145km/h,ボール,菅野 智之,京田 陽太,2-1,top:146px; left:13px;
6,スライダー,132km/h,ファウル,菅野 智之,京田 陽太,2-1,top:145px; left:29px;
7,ストレート,145km/h,左飛,菅野 智之,京田 陽太,2-1,top:104px; left:99px;
1,ストレート,146km/h,見逃し,菅野 智之,大野 雄大,2-1,top:93px; left:34px;
2,ストレート,147km/h,中安,菅野 智之,大野 雄大,2-1,top:56px; left:84px;
1,スライダー,133km/h,見逃し,菅野 智之,大島 洋平,2-1,top:118px; left:88px;
2,ストレート,146km/h,ボール,菅野 智之,大島 洋平,2-1,top:158px; left:23px;
3,ストレート,146km/h,中飛,菅野 智之,大島 洋平,2-1,top:82px; left:109px;
1,ツーシーム,146km/h,ボール,菅野 智之,岡林 勇希,2-1,top:156px; left:128px;
2,スライダー,130km/h,ボール,菅野 智之,岡林 勇希,2-1,top:160px; left:49px;
3,ツーシーム,146km/h,右安,菅野 智之,岡林 勇希,2-1,top:95px; left:48px;
1,フォーク,138km/h,ボール,菅野 智之,福留 孝介,2-1,top:160px; left:129px;
2,フォーク,140km/h,見逃し,菅野 智之,福留 孝介,2-1,top:59px; left:96px;
3,ツーシーム,147km/h,見逃し,菅野 智之,福留 孝介,2-1,top:91px; left:112px;
4,ストレート,149km/h,ボール,菅野 智之,福留 孝介,2-1,top:106px; left:125px;
